movie_name,Directed by,Produced by,Productioncompany,Distributed by,Running time (mins),Country,Language, Budget ,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies,,,,,,,,,,
Into the Woods (film),Rob Marshall,"John DeLuca, Marc Platt",,Walt Disney Pictures,124,United States,English," $50,000,000.00 ",James Corden,Dion Beebe,,,Wyatt Smith,James Lapine,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
"McFarland, USA",Niki Caro,Mark Ciardi,,Walt Disney Pictures,129,United States,English," $17,000,000.00 ",,Adam Arkapaw,,,David Coulson,Bettina Gilois,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Tinker Bell and the Legend of the NeverBeast,Steve Loter,Makul Wigert[1,Disneytoon Studios,Walt Disney Pictures,76,United States,English,,Grey Griffin,Navneet Verma,,,Margaret Hou,"Mark McCorkle, Robert Schooley",,,,,,,,,,,,
Cinderella (2015 American film),Kenneth Branagh,"Simon Kinberg, Allison Shearmur, David Barron",,Walt Disney Pictures,106,,English," $90,000,000.00 ",,Haris Zambarloukos,,,Martin Walsh,Chris Weitz,United States,"Walt Disney Pictures, Kinberg Genre",,,,,,,,,,
Monkey Kingdom,"Mark Linfield, Alastair Fothergill",Mark LinfieldAlastair Fothergill,,Walt Disney Pictures,82,United States,English," $5,000,000.00 ",Tina Fey,Martyn ColbeckGavin Thurston,17/04/2015,,Andy Netley,,,"Disneynature, Silverback Films",,,,,,,,,,
Tomorrowland (film),Brad Bird,Jeffrey Chernov,,Walt Disney Pictures,130,United States,English," $180,000,000.00 ",,Claudio Miranda,,,"Walter Murch, Craig Wood",Damon Lindelof,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Inside Out (2015 film),Pete Docter,Jonas Rivera,,Walt Disney Pictures,95,United States,English," $175,000,000.00 ",,Patrick Lin,,,Kevin Nolting,"Meg LeFauve, Josh Cooley",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
ABCD 2,Remo DSouza,Siddharth Roy Kapur,Walt Disney Productions,UTV Motion Pictures ,154,India,Hindi,,,Vijay Kumar Arora,19/06/2015,"Mayur Puri, Remo D'Souza, Tushar Hiranandani",Manan Ajay Sagar,,,,,,,,,,,,,
The Good Dinosaur,Peter Sohn,Denise Ream,,Walt Disney Pictures,94,United States,English," $175,000,000.00 ",,Mahyar Abousaeedi (camera)[2,,,Stephen Schaffer,Meg LeFauve,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Finest Hours (2016 film),Craig Gillespie,Jim WhitakerDorothy Aufiero,,Walt Disney Pictures,117,United States,English," $70,000,000.00 ",,Javier Aguirresarobe,,,Tatiana S. Riegel,Scott Silver,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Zootopia,"Byron Howard, Rich Moore",Clark Spencer,,Walt Disney Pictures,108,United States,English," $150,000,000.00 ",,"Nathan Warner (layout), Brian Leach (lighting)",,,"Fabienne Rawley,Jeremy Milton","Jared Bush, Phil Johnston, Jared Bush,Phil Johnston",,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
The Jungle Book (2016 film),Jon Favreau,Brigham Taylor,,Walt Disney Pictures,106,United States,English," $175,000,000.00 ",,Bill Pope,,,Mark Livolsi,Justin Marks,,Walt Disney Pictures,,,,,,,,,,
Tini: The Movie,Juan Pablo Buscarini,Pablo Bossi,,Walt Disney Pictures,99,,Spanish,,,Josu Inchaustegui,,Raman Salazar,Pablo Mari,,"Argentina,Spain,Italy,","Walt Disney Pictures, Buena Vista InternationalLatin America, The Walt Disney Company Latin America",,,,,,,,,,
Alice Through the Looking Glass (2016 film),James Bobin,"Joe Roth, Suzanne Todd, Jennifer Todd, Tim Burton",,Walt Disney Pictures,113,United States,English," $170,000,000.00 ",,Stuart Dryburgh,,Linda Woolverton,Andrew Weisblum,,,"Walt Disney Pictures, Roth Films, Tim Burton Productions",,,,,,,,,,
Finding Dory,Andrew Stanton,Lindsey Collins[1,,Walt Disney Pictures,97,United States,English," $200,000,000.00 ",,"Jeremy Lasky (camera), Megibben (lighting)",,,Axel Geddes,"Andrew Stanton,Victoria Strouse",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The BFG (2016 film),Steven Spielberg,"Frank Marshall, Sam Mercer",,Walt Disney Pictures,118,United States,English," $140,000,000.00 ",,,,,Michael Kahn,Melissa Mathison,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Pete's Dragon (2016 film),David Lowery,James Whitaker,,Walt Disney Pictures,103,United States,English," $65,000,000.00 ",,Bojan Bazelli,,,Lisa Zeno Churgin,"David Lowery,Toby Halbrooks",,Walt Disney Pictures,,,,,,,,,,
Queen of Katwe,Mira Nair,Lydia Dean Pilcher,,Walt Disney Pictures,124,United States,English," $150,000,000.00 ",,Sean Bobbitt,,,Barry Alexander Brown,William Wheeler,,"Walt Disney Pictures, ESPN Films, Mirabai Films",,,,,,,,,,
Moana (2016 film),"John Musker, Ron Clements",Osnat Shurer,,Walt Disney Pictures,107,United States,English," $150,000,000.00 ",,Adolph Lusinsky (lighting),,,Jeff Draheim,Jared Bush,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Dangal (film),Nitesh Tiwari,"Aamir Khan, Kiran Rao, Siddharth Roy Kapur",,UTV Motion Pictures ,161,India,Hindi,,Aparshakti Khurana,Satyajit Pande ,,Nitesh TiwariPiyush GuptaShreyas JainNikhil Meharotra,Ballu Saluja,,,Walt Disney Pictures India,,,,,,,,,,
March of the Penguins#Sequel,Luc Jacquet,Yves DarondeauChristophe LioudEmmanuel Priou,,Buena Vista Distribution,86,France,French," $8,000,000.00 ","Charles Berling, 'Romane Bohringer', 'Jules Sitruk'",Laurent Chalet,26/01/2005,Luc Jacquet,Sabine Emiliani,,,Wild Bunch,,,,,,,,,,
Beauty and the Beast (2017 film),Bill Condon,"David Hoberman, Todd Lieberman",,Walt Disney Pictures,129,United States,English," $160,000,000.00 ",,Tobias A. Schliessler,,,Virginia Katz,"Stephen Chbosky, Evan Spiliotopoulos",,"Walt Disney Pictures, Mandeville Films",,,,,,,,,,
Born in China,Lu Chuan,Roy Conli,,Walt Disney Pictures,76,,," $5,000,000.00 ","John Krasinski, Zhou Xun, Claire Keim",,,,Matthew Meech,David FowlerBrian LeithPhil ChapmanLu Chuan,"United States,China,France","Disneynature, Shanghai Media Group",,,,,,,,,,
Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg",Jerry Bruckheimer,,Walt Disney Pictures,129,United States,English," $230,000,000.00 ",,Paul Cameron,,,Roger Barton,Jeff Nathanson,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Cars 3,Brian Fee,Kevin Reher,,Walt Disney Pictures,102,United States,English," $175,000,000.00 ",,"Jeremy Lasky (camera), Kim White (lighting)[1",,,Jason Hudak,"Bob Peterson, Mike Rich, Kiel Murray,Bob Peterson,Mike Rich",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Ghost of the Mountains,Ben Wallis,Brian Leith,,Walt Disney Pictures,,United States,English,,Antoine Fuqua,,30/06/2017,Ben Wallis,,,,Disneynature,,,,,,,,,,
Jagga Jasoos,Anurag Basu,"Siddharth Roy Kapur, Ranbir Kapoor",,UTV Motion Pictures ,162,India,Hindi,,,Ravi Varman,14/07/2017,Amitabh Bhattacharya,Ajay Sharma,,,"Walt Disney Pictures, Picture Shuru Entertainment",,,,,,,,,,
Last Knight (film),Dmitriy Dyachenko,Marina Zhigalova-Ozkan,,Walt Disney Pictures,114,Russia,Russian," $8,000,000.00 ",,Sergei Trofimov,,,"Tim Pavelko,Anton Anisimov,Aleksandr Amirov","Vitaliy Shlyappo,Dimitriy Yan,Pavel Danilov,Igor Tudvasev",,"Walt Disney Pictures CIS, Walt Disney Pictures CIS (Russia)",,,,,,,,,,
Coco (2017 film),Lee Unkrich,Darla K. Anderson,,Walt Disney Pictures,105,United States,English," $175,000,000.00 ",,Matt Aspbury (camera),,,Steve Bloom[1,Adrian Molina,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
A Wrinkle in Time (2018 film),Ava DuVernay,Jim WhitakerCatherine Hand,,Walt Disney Pictures,110,United States,English," $100,000,000.00 ",,Tobias A. Schliessler,,,Spencer Averick,Jennifer Lee,,Walt Disney Pictures,,,,,,,,,,
Incredibles 2,Brad Bird,"John Walker, Nicole Paradis Grindle",,Walt Disney Pictures,118,United States,English," $200,000,000.00 ",,"Mahyar Abousaeedi (camera), Erik Smitt (lighting)",,Brad Bird,Stephen Schaffer,,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Christopher Robin (film),Marc Forster,"Brigham Taylor, Kristin Burr",,Walt Disney Pictures,104,United States,English,,,Matthias Koenigswieser,,,Matt Chess,"Alex Ross Perry, Tom McCarthy, Allison Schroeder",,Walt Disney Pictures,,,,,,,,,,
The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Mark Gordon, Larry Franco",,Walt Disney Pictures,99,United States,English," $120,000,000.00 ",,Linus Sandgren,,Ashleigh Powell,Stuart Levy,,,"Walt Disney Pictures, The Mark Gordon Company",,,,,,,,,,
Ralph Breaks the Internet,"Rich Moore, Phil Johnston",Clark Spencer,,Walt Disney Pictures,112,United States,English," $175,000,000.00 ",,Nathan Detroit Warner (layout)[1,,,Jeremy Milton,Phil Johnston[1,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Mary Poppins Returns,Rob Marshall,Marc Platt,,Walt Disney Pictures,131,United States,English," $130,000,000.00 ",,Dion Beebe,,,Wyatt Smith,David Magee,,Walt Disney Pictures,,,,,,,,,,
Dumbo (2019 film),Tim Burton,Derek Frey,,Walt Disney Pictures,112,United States,English," $170,000,000.00 ",,Ben Davis,,,Chris Lebenzon,Ehren Kruger,,"Walt Disney Pictures, Tim Burton Productions",,,,,,,,,,
Penguins (film),Alastair Fothergill,"Keith Scholey, Roy Conli",,Walt Disney Pictures,76,United States,English,,Ed Helms,,17/04/2019,David Fowler,Andy Netley,,,"Disneynature, Silverback Films",,,,,,,,,,
Aladdin (2019 film),Guy Ritchie,Dan Lin,,Walt Disney Pictures,128,United States,English," $183,000,000.00 ",,Alan Stewart,,,James Herbert,John August,,"Walt Disney Pictures, Rideback",,,,,,,,,,
Toy Story 4,"Josh Cooley, Josh Cooley",Jonas Rivera,,Walt Disney Pictures,100,United States,English," $200,000,000.00 ",,Patrick Lin,,,Axel Geddes,"Andrew Stanton, Stephany Folsom",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Lion King (2019 film),Jon Favreau,Jon FavreauJeffrey SilverKaren Gilchrist,,Walt Disney Pictures,118,United States,English," $250,000,000.00 ",,Caleb Deschanel,,,Mark Livolsi,Jeff Nathanson,,Walt Disney Pictures,,,,,,,,,,
Maleficent: Mistress of Evil,Joachim Rønning,"Joe Roth, Angelina Jolie, Duncan Henderson",,Walt Disney Pictures,119,United States,English," $186,000,000.00 ",,Henry Braham,18/10/2019,"Linda Woolverton, Noah Harpster",Craig Wood,,,"Walt Disney Pictures, Roth/Kirschenbaum Films",,,,,,,,,,
Lady and the Tramp (2019 film),Charlie Bean,Brigham Taylor,,Walt Disney Pictures,104,United States,English," $60,000,000.00 ",,"Enrique Chediak, 'Enrique Chediak",12/11/2019,,Melissa Bretherton,Andrew Bujalski,,"Walt Disney Pictures, Walt Disney Pictures\nTaylor Made",,,,,,,,,,
Noelle (2019 film),Marc Lawrence,Suzanne Todd,Walt Disney Productions,Walt Disney Pictures,100,United States,English,,,Russell Carpenter,,Marc Lawrence,Hughes Winborne,,,,,,,,,,,,,
Frozen II,"Chris Buck, Jennifer Lee",Peter Del Vecho,,Walt Disney Pictures,103,United States,English," $150,000,000.00 ",,Mohit Kallianpur,,,Jeff Draheim,Jennifer Lee,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Togo (film),Ericson Core,Kim Zubick,Walt Disney Productions,Walt Disney Pictures,114,United States,English," $40,000,000.00 ",,Ericson Core,20/12/2019,Tom Flynn,Martin Pensa,,,,,,,,,,,,,
Timmy Failure: Mistakes Were Made,Tom McCarthy,Alexander DostalTom McCarthyJim Whitaker,,Walt Disney Pictures,99,United States,English," $42,000,000.00 ",,Masanobu Takayanagi,,,Tom McArdle,Stephan Pastis,,"Walt Disney Pictures, Walt Disney Pictures\nEtalon Film\nSlow Pony Pictures\nWhitaker Entertainment",,,,,,,,,,
Onward (film),Dan Scanlon,Kori Rae,,Walt Disney Pictures,102,United States,English," $175,000,000.00 ",,Sharon Calahan,,Keith Bunin,Catherine Apple,,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Stargirl (film),Julia Hart,Ellen Goldsmith-Vein,,Walt Disney Pictures,107,United States,English,,,Bryce Fortner,13/03/2020,,"Shayar Bansali,Tracey Wadmore-Smith","Kristin Hahn, Jordan Horowitz",,"Walt Disney Pictures, Gotham Group",,,,,,,,,,
Dolphin Reef (film),"Alastair Fothergill, Keith Scholey",Roy Conli,Disneynature,Walt Disney Pictures,78,United States,English,,Natalie Portman,Paul Atkins,,David Fowler,Martin Elsbury,,,,,,,,,,,,,
Elephant (2020 film),Mark Linfield,Roy Conli,Disneynature,Walt Disney Pictures,86,United States,English,,,"Martyn Colbeck, Mike Holding, Tom Walker",03/04/2020,,Nigel Buck,,,,,,,,,,,,,
Artemis Fowl (film),Kenneth Branagh,Judy Hofflund,Walt Disney Productions,Walt Disney Pictures,95,United States,English," $125,000,000.00 ",,Haris Zambarloukos,12/06/2020,,Matthew Tucker,"Conor McPherson, Hamish McColl",,,,,,,,,,,,
Hamilton (2020 film),Thomas Kail,Jeffrey Seller,,Walt Disney Pictures,160,United States,English," $12,500,000.00 ",,Declan Quinn,03/07/2020,Lin-Manuel Miranda,Jonah Moran,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Black Is King,"Beyonce, Emmanuel Adjei, Blitz Bazawule, Jenn Nkiru, Ibra Ake, Jake Nava",Jeremy SullivanJimi AdesanyaBlitz BazawuleBen CooperAstrid EdwardsDurwin JuliesYoli MesDafe OboroAkin OmotosoWill WhitneyLauren BakerJason BaumAlex ChamberlainRobert DayChristophe FaubertBrien JustinianoRethabile Molatela MothobiSylvia ZakharyNathan ScherrerErinn Williams,,Walt Disney Pictures,85,United States,English,,,Ryan Marie Helfant and crew,31/07/2020,Beyonce,"Andrew Morrow,Maria-Celeste Garrahan,Haines Hall,Tom Watson",,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Magic Camp (film),Mark Waters,Suzanne Todd,,Walt Disney Pictures,100,United States,English," $24,000,000.00 ",,Theo van de Sande,14/08/2020,,Bruce Green,"Noah Harpster, Max Winkler",,"Walt Disney Pictures, Team Todd",,,,,,,,,,
The One and Only Ivan (film),Thea Sharrock,"Angelina Jolie, Allison Shearmur, Brigham Taylor",,Walt Disney Pictures,95,United States,English,,,Florian Ballhaus,21/08/2020,,Barney Pilling,Mike White,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Mulan (2020 film),Niki Caro,Chris Bender,,Walt Disney Pictures,115,United States,English," $200,000,000.00 ",,Mandy Walker,,,David Coulson,Rick JaffaAmanda Silver,,Walt Disney Pictures,,,,,,,,,,
Godmothered,Sharon Maguire,Ivan Reitman,,Walt Disney Pictures,110,United States,English,,,Christopher Norr,04/12/2020,,Gary Dollner,Kari Granlund,,"Walt Disney Pictures, Walt Disney Pictures\nSecret Machine Entertainment",,,,,,,,,,
Safety (2020 film),Reginald Hudlin,Mark Ciardi,,Walt Disney Pictures,122,United States,English," $26,000,000.00 ",,"Shane Hurlbut, 'Shane Hurlbut",11/12/2020,Nick Santora,Terel Gibson,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Soul (2020 film),Pete Docter,Dana Murray,,Walt Disney Pictures,101,United States,English," $150,000,000.00 ",,"Matt Aspbury, Ian Megibben",,"Mike Jones, Kemp Powers",Kevin Nolting,,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
The Last Warrior: Root of Evil,Dmitriy Dyachenko,"ru, ru",,Walt Disney Pictures,121,Russia,Russian,,,Pavel Kapinos,,"Vitaliy Shlyappo, Dimitriy Yan, Vasiliy Kutsenko, Pavel Danilov, Igor Tudvasev",,,,"The Walt Disney Company CIS, Yellow, Black and White, Russia-1, Cinema Fund Russia",,,,,,,,,,
Flora & Ulysses (film),Lena Khan,Gil Netter,,Walt Disney Pictures,95,United States,English,,,Andrew Dunn,19/02/2021,,Jamie Gross,Brad Copeland,,Walt Disney Pictures,,,,,,,,,,
Raya and the Last Dragon,"Don Hall, Carlos López Estrada","Osnat Shurer, Peter Del Vecho",,Walt Disney Pictures,107,United States,English," $100,000,000.00 ",,"Rob Dressel (layout), Adolph Lusinsky (lighting)",05/03/2021,,"Fabienne Rawley,Shannon Stein","Qui Nguyen, Adele Lim",,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Cruella (film),Craig Gillespie,"Andrew Gunn, Marc Platt, Kristin Burr",,Walt Disney Pictures,134,United States,English," $100,000,000.00 ",,Nicolas Karakatsanis,,,Tatiana S. Riegel,"Dana Fox, Tony McNamara",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Luca (2021 film),Enrico Casarosa,Andrea Warren,,Walt Disney Pictures,95,United States,English,,,"David Juan Bianchi, Kim White",,,"Catherine Apple,Jason Hudak","Jesse Andrews, Mike Jones",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Jungle Cruise (film),Jaume Collet-Serra,"John Davis, Beau Flynn, Dwayne Johnson, Dany Garcia",,Walt Disney Pictures,127,United States,English," $200,000,000.00 ",,Flavio Labiano,,,Joel Negron,"Michael Green, Glenn Ficarra, John Requa",,"Walt Disney Pictures, Davis Entertainment, Seven Bucks Productions, Flynn Picture Company",,,,,,,,,,
Encanto,"Jared Bush, Byron Howard","Yvett Merino, Clark Spencer",,Walt Disney Pictures,102,United States,English," $120,000,000.00 ",,"Nathan Warner (layout), Alessandro Jacomini, Daniel Rice (lighting)",,,Jeremy Milton,Charise Castro Smith,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Diary of a Wimpy Kid (2021 film),Swinton Scott,Jeff Kinney,,Walt Disney Pictures,58,,English,,,,03/12/2021,,Sylvain Blais,Jeff Kinney,"Canada,United States","Walt Disney Pictures, Bardel Entertainment, Walt Disney Pictures\nBardel Entertainment",,,,,,,,,,
The Last Warrior: A Messenger of Darkness,Dmitry Dyachenko,Kakhaber AbashidzeEduard IloyanVitaly ShlyappoDenis ZhalinskyAleksandr Kushaev,,Walt Disney Pictures,108,Russia,Russian,,,Pavel Kapinos,23/12/2021,"Vitaliy Shlyappo, Dimitriy Yan, Vasiliy Kutsenko, Pavel Danilov, Igor Tudvasev",,,,"Walt Disney Pictures, Buena Vista International, The Walt Disney Company CIS, Yellow, Black and White",,,,,,,,,,
The Ice Age Adventures of Buck Wild,John C. Donkin,Denise L. Rottina,,Walt Disney Pictures,82,,English,,,,28/01/2022,,Braden Oberson,"Jim Hecht,William Schifrin,Ray DeLaurentis","United States,Canada","Walt Disney Pictures, 20th Century Studios, 20th Century Animation, Bardel Entertainment",,,,,,,,,,
Turning Red,Domee Shi,Lindsey Collins,,Walt Disney Pictures,100,United States,English," $175,000,000.00 ",,"Mahyar Abousaeedi, Jonathan Pytko",,,"Nicholas C. Smith,Steve Bloom",Julia Cho,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Cheaper by the Dozen (2022 film),Gail Lerner,Kenya Barris,,Walt Disney Pictures,107,United States,English,,,Mitchell Amundsen,,,Troy Takaki,"Kenya Barris, Jenifer Rice-Genzuk Henry",,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Better Nate Than Ever (film),Tim Federle,Marc Platt,,Walt Disney Pictures,91,United States,English," $36,000,000.00 ",,Declan Quinn,,Tim Federle,Katie McQuerrey,,,"Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Polar Bear (film),Alastair Fothergill,"Keith Scholey, Roy Conli",Disneynature,Walt Disney Pictures,84,United States,English,,Catherine Keener,,22/04/2022,,,,,,,,,,,,,,,
Chip 'n Dale: Rescue Rangers (film),Akiva Schaffer,"David Hoberman, Todd Lieberman",,Walt Disney Pictures,97,United States,English," $70,000,000.00 ",,Larry Fong,,"Dan Gregor, Doug Mand",Brian Olds,,,"Walt Disney Pictures, Mandeville Films",,,,,,,,,,
Hollywood Stargirl,Julia Hart,Ellen Goldsmith-Vein,,Walt Disney Pictures,105,United States,English,,,Bryce Fortner,,Jordan Horowitz,Shayar BhansaliTracey Wadmore-Smith,,,"Walt Disney Pictures, Gotham Group",,,,,,,,,,
Lightyear (film),Angus MacLane,Galyn Susman,,Walt Disney Pictures,105,United States,English," $200,000,000.00 ",,"Jeremy Lasky (camera), Ian Megibben (lighting)",,,Anthony J. Greenberg,"Jason Headley,Angus MacLane",,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Rise (2022 film),Akin Omotoso,Bernie Goldmann,,Walt Disney Pictures,111,,,,,Kabelo Thathe,24/06/2022,Arash Amel,Vuyani Sondlo,,"United States,Greece","Walt Disney Pictures, Faliro House Productions",,,,,,,,,,
Pinocchio (2022 live-action film),Robert Zemeckis,Andrew MilanoChris WeitzRobert ZemeckisDerek Hogue,,Walt Disney Pictures,105,United States,English," $150,000,000.00 ",,Don Burgess,08/09/2022,,Mick Audsley,Chris Weitz,,"Walt Disney Pictures, ImageMovers",,,,,,,,,,
Hocus Pocus 2,Anne Fletcher,Lynn Harris,,Walt Disney Pictures,103,United States,English," $40,000,000.00 ",,Elliot Davis,30/09/2022,,Julia Wong,Jen DAngelo,,"Walt Disney Pictures, David Kirschner Productions",,,,,,,,,,
Disenchanted (film),Adam Shankman,"Barry Josephson, Barry Sonnenfeld, Amy Adams",,Walt Disney Pictures,119,United States,English,,,Simon Duggan,,,"Emma E. Hickox, 'Chris Lebenzon'",Brigitte Hales,,"Walt Disney Pictures, Josephson Entertainment, Right Coast Productions",,,,,,,,,,
Strange World (film),Don Hall,Roy Conli,,Walt Disney Pictures,102,United States,English," $135,000,000.00 ",,Tracy Scott Beattie (layout)Brian Leach\n(lighting),,Qui Nguyen,Sarah K. Reimers,,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Diary of a Wimpy Kid: Rodrick Rules (2022 film),Luke Cormican,Jeff Kinney,,Walt Disney Pictures,75,,English,,,,,,Sylvain BlaisRob LevesqueMatthew Sipple,Jeff Kinney,"United States,Canada","Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Night at the Museum: Kahmunrah Rises Again,Matt Danner,Shawn Levy,,Walt Disney Pictures,77,,English,,,,09/12/2022,"Ray DeLaurentis, William Schifrin",Luc Perrault,,"United States,Canada,China","Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Chang Can Dunk,Jingyi Shao,Lena Waithe,,Walt Disney Pictures,109,United States,English,,,Ross Riege,10/03/2023,Jingyi Shao,Brad Turner,,,Walt Disney Pictures,,,,,,,,,,
Peter Pan & Wendy,David Lowery,Jim Whitaker,,Walt Disney Pictures,109,United States,English,,,Bojan Bazelli,28/04/2023,,Lisa Zeno Churgin,"David Lowery,Toby Halbrooks",,Walt Disney Pictures,,,,,,,,,,
Crater (film),Kyle Patrick Alvarez,"Dan Levine, Shawn Levy",,Walt Disney Pictures,105,United States,English,,,Jas Shelton,12/05/2023,John Griffin,James W. Harrison III,,,"Walt Disney Pictures, 21 Laps Entertainment",,,,,,,,,,
The Little Mermaid (2023 film),Rob Marshall,"Marc Platt, Lin-Manuel Miranda, John DeLuca",,Walt Disney Pictures,135,United States,English," $297,000,000.00 ",,Dion Beebe,,,Wyatt Smith,David Magee,,Walt Disney Pictures,,,,,,,,,,
Elemental (2023 film),Peter Sohn,Denise Ream,,Walt Disney Pictures,101,United States,English," $200,000,000.00 ",,"David Bianchi, Jean-Claude Kalache",,,Stephen Schaffer,John HobergKat Likkel,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
World's Best (film),Roshan Sethi,Thomas Kail,Walt Disney Productions,Walt Disney Pictures,101,United States,English,,,Sing Howe Yam,23/06/2023,Utkarsh Ambudkar,Jonah Moran,,,,,,,,,,,,,
Indiana Jones and the Dial of Destiny,James Mangold,"Kathleen Kennedy, Frank Marshall",,Walt Disney Pictures,154,United States,English," $295,000,000.00 ",,Phedon Papamichael,,"Jez Butterworth, John-Henry Butterworth, David Koepp","Michael McCusker, 'Andrew Buckland'",,,"Walt Disney Pictures, Lucasfilm Ltd.",,,,,,,,,,
Haunted Mansion (2023 film),Justin Simien,Dan Lin,,Walt Disney Pictures,123,United States,English," $150,000,000.00 ",,Jeffrey Waldron,,,Phillip J. Bartell,Katie Dippold,,"Walt Disney Pictures, Rideback",,,,,,,,,,
Dashing Through the Snow,Tim Story,"John Jacobs, Will Packer",,Walt Disney Pictures,90,United States,English,,,Christopher Duskin,17/11/2023,"Scott Rosenberg, 'Scott Rosenberg","David Clark,David Rennie",,,"Walt Disney Pictures, Will Packer Productions",,,,,,,,,,
Wish (film),"Chris Buck, Fawn Veerasunthorn",Peter Del Vecho,,Walt Disney Pictures,95,United States,English," $175,000,000.00 ",,"Rob Dressel (layout), Adolph Lusinsky (lighting)",,,Jeff Draheim,Jennifer Lee,,"Walt Disney Pictures, Walt Disney Animation Studios",,,,,,,,,,
Diary of a Wimpy Kid Christmas: Cabin Fever,Luke Cormican,Jeff Kinney,,Walt Disney Pictures,62,,English,,,,,,,Jeff Kinney,"United States,Canada","Walt Disney Pictures, Walt Disney Pictures",,,,,,,,,,
Inside Out 2,Kelsey Mann,Mark Nielsen,,Walt Disney Pictures,,United States,English,,,,14/06/2024,,,Meg LeFauve,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Mufasa: The Lion King,Barry Jenkins,Adele Romanski,,Walt Disney Pictures,,United States,English,,,,20/12/2024,Jeff Nathanson,,,,Walt Disney Pictures,,,,,,,,,,
Snow White (2025 film),Marc Webb,Marc Platt,,Walt Disney Pictures,,United States,English," $209,000,000.00 ",,Mandy Walker,21/03/2025,,Mark Sanger,"Greta Gerwig, Erin Cressida Wilson",,"Walt Disney Pictures, Marc Platt Productions",,,,,,,,,,
Elio (film),Adrian Molina,Mary Alice Drumm,,Walt Disney Pictures,,United States,English,,,Danielle Feinberg,13/06/2025,Adrian Molina,,,,"Walt Disney Pictures, Pixar Animation Studios",,,,,,,,,,
Out of My Mind (film),,"Dan Angel, Peter Saraf",,Walt Disney Pictures,102,United States,English,,,Noah Greenberg,,Daniel Stiepleman,Jacob Craycroft,,,"Walt Disney Pictures,  Big Beach Films, Participant",,,,,,,,,,
Young Woman and the Sea,,Jerry Bruckheimer,,Walt Disney Pictures,,United States,English,,,Iscar Faura,,,,Jeff Nathanson,,"Walt Disney Pictures, Jerry Bruckheimer Films",,,,,,,,,,
Lilo & Stitch (upcoming film),,Dan Lin,,Walt Disney Pictures,,United States,English,,,Nigel Bluck,,Chris Kekaniokalani Bright,,,,"Walt Disney Pictures, Rideback",,,,,,,,,,
Tron: Ares,,Jared Leto,,Walt Disney Pictures,,United States,English,,,Jeff Cronenweth,,,,Jack Thorne,,Walt Disney Pictures,,,,,,,,,,
